winner,loser,winner_wins,loser_wins,total_games,win_percentage,lose_percentage
terry,corrin,1712,1192,2904,58.95,41.05
miiswordfighter,roy,695,484,1179,58.95,41.05
inkling,sheik,755,526,1281,58.94,41.06
simon,joker,650,453,1103,58.93,41.07
ness,random,769,536,1305,58.93,41.07
diddykong,mewtwo,789,550,1339,58.92,41.08
miigunner,ridley,393,274,667,58.92,41.08
diddykong,marth,701,489,1190,58.91,41.09
rob,captainfalcon,4709,3285,7994,58.91,41.09
megaman,lucina,1026,716,1742,58.90,41.10
ken,megaman,646,451,1097,58.89,41.11
toonlink,sheik,401,280,681,58.88,41.12
minmin,daisy,315,220,535,58.88,41.12
luigi,mrgameandwatch,2832,1978,4810,58.88,41.12
fox,marth,952,665,1617,58.87,41.13
pokemontrainer,marth,1188,830,2018,58.87,41.13
sonic,jigglypuff,2234,1561,3795,58.87,41.13
snake,isabelle,1485,1038,2523,58.86,41.14
steve,greninja,2170,1517,3687,58.86,41.14
miigunner,piranhaplant,399,279,678,58.85,41.15
ike,isabelle,945,661,1606,58.84,41.16
minmin,samus,2307,1614,3921,58.84,41.16
pacman,captainfalcon,2630,1840,4470,58.84,41.16
minmin,piranhaplant,1039,727,1766,58.83,41.17
ken,banjokazooie,977,684,1661,58.82,41.18
simon,kingkrool,387,271,658,58.81,41.19
zelda,jigglypuff,1765,1236,3001,58.81,41.19
luigi,wolf,3655,2560,6215,58.81,41.19
robin,darkpit,541,379,920,58.80,41.20
bayonetta,pyra,2593,1818,4411,58.78,41.22
miibrawler,marth,422,296,718,58.77,41.23
bayonetta,pit,456,320,776,58.76,41.24
steve,pokemontrainer,3824,2684,6508,58.76,41.24
richter,hero,698,490,1188,58.75,41.25
simon,darkpit,131,92,223,58.74,41.26
simon,chrom,168,118,286,58.74,41.26
snake,bowserjr,1889,1327,3216,58.74,41.26
ryu,pit,195,137,332,58.73,41.27
steve,banjokazooie,2314,1626,3940,58.73,41.27
megaman,kingkrool,1107,778,1885,58.73,41.27
younglink,sora,1033,726,1759,58.73,41.27
simon,toonlink,175,123,298,58.72,41.28
simon,pichu,138,97,235,58.72,41.28
drmario,pikachu,1139,801,1940,58.71,41.29
simon,rosalina,91,64,155,58.71,41.29
kazuya,sora,2608,1835,4443,58.70,41.30
kingdedede,ridley,1457,1026,2483,58.68,41.32
inkling,byleth,2061,1452,3513,58.67,41.33
ken,pyra,1578,1112,2690,58.66,41.34
ness,lucina,4510,3182,7692,58.63,41.37
villager,lucina,737,520,1257,58.63,41.37
duckhunt,random,197,139,336,58.63,41.37
ken,cloud,2276,1606,3882,58.63,41.37
richter,olimar,231,163,394,58.63,41.37
robin,lucas,992,700,1692,58.63,41.37
simon,pokemontrainer,459,324,783,58.62,41.38
darksamus,marth,272,192,464,58.62,41.38
robin,joker,2525,1783,4308,58.61,41.39
miibrawler,lucina,953,673,1626,58.61,41.39
miigunner,kingkrool,855,604,1459,58.60,41.40
steve,zerosuitsamus,2012,1422,3434,58.59,41.41
ryu,pikachu,1105,781,1886,58.59,41.41
iceclimbers,inkling,846,598,1444,58.59,41.41
